,mi_score,mi_rank,rf_perm_importance,rf_perm_rank,rf_impurity_importance,rfe_selected,rfe_ranking
IAT,1.5541525882256124,1.0,0.2639019295899743,1.0,0.22570594741252198,True,1
Max,1.075234244637131,2.0,-4.684892198683066e-05,40.0,0.03544727715249993,True,1
Tot size,1.070874903405798,3.0,-0.00012297842021533612,41.5,0.041773375060967774,True,1
Magnitue,1.0198360288016317,4.0,0.00014445084279253174,24.0,0.05077741743225522,True,1
AVG,1.014017843821718,5.0,0.00017177938061816445,21.0,0.04775544334607939,True,1
Tot sum,1.0020510698850502,6.0,7.808153664461415e-05,27.0,0.02999268917177001,True,1
Min,0.9120508882739506,7.0,0.0003767434143103543,18.0,0.03855693864333315,True,1
Header_Length,0.7994466412993131,8.0,0.006104024127194796,4.0,0.06213500629516329,True,1
Protocol Type,0.7282194561436828,9.0,0.0007886235201108426,16.0,0.03598953980679493,True,1
Number,0.6420506727638307,10.0,0.001175127126501785,14.0,0.015330299032243313,False,3
Weight,0.6405828169224694,11.0,0.0014894053114965055,13.0,0.016715783617663942,False,6
rst_count,0.6327291685753083,12.0,0.028609075026596466,2.0,0.062092449632027084,True,1
Variance,0.5840675412943437,13.0,0.0019344700703709306,12.0,0.038950821419921615,True,1
Duration,0.5807094598636233,14.0,0.003486340611183203,6.0,0.017782648993689715,False,4
urg_count,0.5800792800786505,15.0,0.027826307621733947,3.0,0.03564443571789126,True,1
Radius,0.5718284348123848,16.0,-0.0002537649940951292,43.0,0.02055538525423393,False,5
Std,0.5701560596205479,17.0,-0.00038845564480713966,44.0,0.018686164493879345,False,4
Covariance,0.5537903413755134,18.0,-0.00012297842021533612,41.5,0.01717999652343693,False,3
flow_duration,0.54140143096439,19.0,0.004932801077525184,5.0,0.04162729197706371,True,1
Rate,0.37611002199881005,20.0,0.002438095981728905,7.0,0.02864114127518335,True,1
Srate,0.37592197936514893,21.0,0.002166762641888753,8.0,0.026967912723482104,True,1
syn_count,0.33574567097993757,22.0,0.0020262158759283945,11.0,0.022255634174743383,False,2
ack_flag_number,0.31962727893099174,23.0,0.00014835491962479354,22.0,0.004305944487541653,False,8
TCP,0.24739744777161343,24.0,0.0001893477263632093,20.0,0.005874456835528067,False,9
HTTPS,0.24013479639746071,25.0,0.0021238177967342286,9.0,0.008229911679604355,False,6
ack_count,0.11201553399680897,26.0,0.0011107098587699981,15.0,0.0075918022998901396,False,7
fin_count,0.09878044736145108,27.0,0.0005856115248347616,17.0,0.013519835341516783,False,5
syn_flag_number,0.08666444290786668,28.0,0.00020301199527605895,19.0,0.001915715674761789,False,12
ICMP,0.07934530690129327,29.0,3.9040768322173845e-06,32.0,0.0034777773577449396,False,10
UDP,0.05569522376789404,30.0,0.00014445084279257614,23.0,0.004349731579151485,False,8
rst_flag_number,0.041520868475799055,31.0,1.952038416110913e-05,28.0,0.0013497924435463755,False,10
fin_flag_number,0.039768289899098086,32.0,7.808153664434769e-06,31.0,0.002236054911500085,False,11
psh_flag_number,0.03355246993216188,33.0,0.00014249880437642304,25.0,0.003934735109621182,False,9
LLC,0.027889553808363665,34.0,1.9520384161086923e-05,29.0,5.317154231696049e-05,False,13
IPv,0.027744193642579962,35.0,9.760192080543462e-06,30.0,6.060932371878771e-05,False,13
HTTP,0.010223429533464667,36.0,0.0020672086826668324,10.0,0.003755889795689698,False,11
DNS,0.0015962690085680187,37.0,0.0,36.0,9.222974355034228e-05,False,12
ARP,0.0015473332558979536,38.0,0.0,36.0,2.2430040455577846e-05,False,14
cwr_flag_number,0.0009692028381262929,39.0,0.0,36.0,9.949491340964808e-07,False,16
Drate,0.0,42.0,0.0,36.0,2.406258688950028e-07,False,16
DHCP,0.0,42.0,0.0,36.0,0.0,False,14
SSH,0.0,42.0,0.00010541007447022466,26.0,0.008663524361764196,False,7
SMTP,0.0,42.0,0.0,36.0,0.0,False,15
ece_flag_number,0.0,42.0,0.0,36.0,1.552740249318722e-06,False,15
